,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA
Forecast Annual Growth Rate,Biomass Capacity,%,2027,0%,0%,-0%,16%,-1%,12%,-0%,0%,-0%,2%,0%
Forecast Annual Growth Rate,Biomass Capacity,%,2028,0%,1%,-0%,11%,-1%,11%,-2%,0%,-1%,4%,-0%
Forecast Annual Growth Rate,Biomass Capacity,%,2029,0%,2%,1%,8%,-1%,10%,-1%,-0%,-1%,2%,-1%
Forecast Annual Growth Rate,Biomass Capacity,%,2030,0%,2%,3%,7%,-0%,5%,-1%,-1%,-1%,0%,-1%
Forecast Annual Growth Rate,Nuclear Capacity,%,2025,0%,0%,0%,27%,-1%,-0%,23%,0%,25%,0%,0%
Forecast Annual Growth Rate,Nuclear Capacity,%,2026,1%,2%,0%,0%,0%,3%,17%,0%,0%,2%,3%
Forecast Annual Growth Rate,Nuclear Capacity,%,2027,2%,0%,24%,4%,-0%,1%,20%,2%,0%,1%,4%
Forecast Annual Growth Rate,Nuclear Capacity,%,2028,1%,1%,7%,17%,0%,2%,13%,-2%,0%,0%,3%
Forecast Annual Growth Rate,Nuclear Capacity,%,2029,2%,7%,0%,13%,0%,2%,13%,2%,0%,0%,1%
Forecast Annual Growth Rate,Nuclear Capacity,%,2030,2%,9%,1%,13%,0%,0%,16%,1%,0%,1%,1%
