				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Installed Capacity	Total Fossil	GW	2019	  4,343.028560 	  1,208.674680 	  330.326640 	  453.833590 	  865.437370 	  292.648270 	  191.065010 	  410.222930 	  187.658660 	  81.204830 	  321.956580 
Installed Capacity	Total Fossil	GW	2020	  4,431.091356 	  1,257.432090 	  354.429050 	  469.557480 	  856.264580 	  291.998920 	  195.391440 	  404.080536 	  192.820520 	  84.721860 	  324.394880 
Installed Capacity	Total Fossil	GW	2021	  4,443.082730 	  1,295.476110 	  335.842930 	  470.960670 	  853.887190 	  295.037920 	  198.057320 	  387.733850 	  194.831230 	  84.741760 	  326.513750 
Installed Capacity	Total Fossil	GW	2022	  4,504.106779 	  1,314.816280 	  358.483462 	  483.672844 	  843.634995 	  293.818957 	  214.573499 	  388.053562 	  196.957107 	  87.331174 	  322.764900 
Installed Capacity	Total Fossil	GW	2023	  4,616.503804 	  1,379.996654 	  382.580507 	  497.186866 	  830.810181 	  297.488187 	  230.656353 	  386.965000 	  196.479275 	  90.785148 	  323.555632 
Installed Capacity	Total Fossil	GW	2024	  4,663.128304 	  1,404.060379 	  396.025953 	  510.822854 	  820.041096 	  296.961914 	  236.797111 	  378.968479 	  200.843553 	  94.977001 	  323.629965 
Installed Capacity	Total Fossil	GW	2025	  4,654.826111 	  1,429.896061 	  398.185224 	  509.918539 	  798.604115 	  294.944709 	  252.884359 	  367.829279 	  199.826015 	  88.087708 	  314.650100 
Installed Capacity	Total Fossil	GW	2026	  4,676.542904 	  1,436.855872 	  401.339694 	  511.140547 	  791.426175 	  300.944195 	  263.547618 	  369.165418 	  201.245784 	  90.370488 	  310.507112 
Installed Capacity	Total Fossil	GW	2027	  4,697.586160 	  1,453.469581 	  419.695696 	  514.890772 	  775.923152 	  304.949942 	  267.700636 	  364.162906 	  200.270585 	  91.230065 	  305.292825 
Installed Capacity	Total Fossil	GW	2028	  4,679.066894 	  1,455.933188 	  420.001031 	  522.318687 	  760.645597 	  304.523834 	  267.923776 	  357.287639 	  198.208620 	  91.290023 	  300.934499 
Installed Capacity	Total Fossil	GW	2029	  4,645.923330 	  1,452.410385 	  418.394573 	  528.567364 	  744.445826 	  304.315937 	  265.599456 	  350.072135 	  195.537624 	  90.399817 	  296.180212 
Installed Capacity	Total Fossil	GW	2030	  4,612.044544 	  1,448.946921 	  417.176696 	  533.294477 	  726.839039 	  304.704679 	  265.434173 	  342.392091 	  192.573536 	  89.353390 	  291.329541 
Electricity Generation	Solar	GWh	2017	  433,469.243317 	  121,665.498065 	  19,532.251166 	  6,754.277264 	  71,057.769577 	  1,407.272673 	  6,901.126240 	  120,739.671173 	  6,776.574770 	  4,487.333954 	  74,147.468438 
Electricity Generation	Solar	GWh	2018	  588,559.171617 	  197,775.283574 	  37,805.521075 	  11,790.805814 	  99,696.174040 	  2,145.947558 	  7,778.588507 	  135,078.132407 	  10,649.061642 	  5,048.498923 	  80,791.158076 
Electricity Generation	Solar	GWh	2019	  731,328.480000 	  229,188.410000 	  51,704.910000 	  22,827.490000 	  145,969.960000 	  5,223.520000 	  12,697.290000 	  137,118.710000 	  22,323.650000 	  5,457.120000 	  98,817.420000 
Electricity Generation	Solar	GWh	2020	  887,268.880000 	  268,867.120000 	  63,227.210000 	  27,696.150000 	  174,779.830000 	  8,825.230000 	  20,118.270000 	  157,941.240000 	  37,937.000000 	  6,240.410000 	  121,636.420000 
Electricity Generation	Solar	GWh	2021	  1,138,833.909612 	  348,332.202383 	  60,058.814979 	  30,060.617375 	  214,687.049263 	  10,738.256104 	  37,659.708899 	  227,127.692617 	  47,194.181882 	  8,824.946133 	  154,150.439977 
Electricity Generation	Solar	GWh	2022	  1,416,873.399273 	  431,709.970000 	  80,015.562645 	  40,910.100040 	  268,927.555630 	  14,506.695836 	  46,700.443686 	  261,679.032110 	  72,506.291194 	  13,496.472758 	  186,421.275376 
Electricity Generation	Solar	GWh	2023	  1,820,948.909760 	  550,064.104793 	  111,627.768473 	  70,987.259802 	  322,527.810149 	  21,070.687053 	  54,500.119443 	  337,167.409287 	  105,422.169815 	  19,657.271946 	  227,924.308999 
Electricity Generation	Solar	GWh	2024	  2,359,562.822154 	  708,456.081547 	  144,715.929309 	  103,247.465191 	  443,486.765453 	  28,542.168328 	  60,433.545666 	  425,211.520014 	  136,305.563144 	  27,636.966659 	  281,526.816843 
Electricity Generation	Solar	GWh	2025	  2,887,005.815221 	  886,494.363824 	  172,245.016516 	  125,183.334762 	  563,407.073901 	  37,384.110965 	  67,822.300960 	  501,065.082376 	  164,150.269311 	  32,922.859244 	  336,331.403361 
