				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Forecast Annual Growth Rate	Hydro Capacity	%	2025	3.259951%	2.721477%	14.467319%	1.373879%	0.258890%	1.741616%	6.643309%	0.837856%	2.155133%	14.192875%	3.584213%
Forecast Annual Growth Rate	Hydro Capacity	%	2026	3.669445%	1.789019%	10.067328%	5.108272%	0.800667%	11.824529%	6.999797%	1.038905%	2.812137%	10.487025%	4.649519%
Forecast Annual Growth Rate	Hydro Capacity	%	2027	2.920334%	3.417278%	5.486069%	4.326578%	0.481116%	4.144213%	9.128486%	0.901808%	1.590749%	4.694531%	2.173651%
Forecast Annual Growth Rate	Hydro Capacity	%	2028	1.837093%	1.170765%	6.992927%	5.748187%	0.689927%	1.410978%	1.388976%	0.244102%	0.493396%	6.296300%	3.143873%
Forecast Annual Growth Rate	Hydro Capacity	%	2029	1.902882%	1.829829%	5.725972%	4.658308%	0.812842%	1.413228%	6.590029%	0.330334%	0.343050%	2.498510%	0.624616%
Forecast Annual Growth Rate	Hydro Capacity	%	2030	3.187798%	3.067193%	12.674951%	3.515363%	1.493146%	1.673618%	5.166548%	0.770989%	0.639676%	9.001474%	0.349634%
Forecast Annual Growth Rate	Geo Capacity	%	2025	16.076260%	-1.537256%	169414.560000%	9.553268%	7.750227%	17.659199%	19.244168%	3.388981%	9.160248%	80.799667%	0.215958%
Forecast Annual Growth Rate	Geo Capacity	%	2026	20.401933%	2113.647317%	2147.947884%	31.521025%	2.390371%	687.273089%	4.881364%	25.681124%	9.170907%	20.346710%	33.570403%
Forecast Annual Growth Rate	Geo Capacity	%	2027	20.091551%	192.638279%	83.127118%	65.504134%	3.276592%	101.406028%	2.969593%	25.795354%	-0.399390%	0.009692%	9.956213%
Forecast Annual Growth Rate	Geo Capacity	%	2028	11.990289%	48.056761%	103.390888%	35.946548%	6.168133%	19.469093%	-0.193786%	5.296471%	-0.999174%	-0.065810%	4.024864%
Forecast Annual Growth Rate	Geo Capacity	%	2029	10.484746%	24.229418%	57.516659%	16.657984%	15.009731%	14.222984%	0.325608%	15.144179%	-1.120638%	-0.069492%	2.470890%
Forecast Annual Growth Rate	Geo Capacity	%	2030	6.661465%	-0.025098%	35.145600%	9.178526%	14.504412%	8.128883%	0.345663%	15.360007%	-1.238289%	-0.072299%	1.167225%
Forecast Annual Growth Rate	Biomass Capacity	%	2025	1.262255%	0.421854%	2.429608%	0.709125%	-1.558770%	5.781334%	2.441210%	0.541956%	2.546541%	3.796705%	4.320761%
Forecast Annual Growth Rate	Biomass Capacity	%	2026	1.219574%	0.544041%	2.001595%	16.701154%	-0.000678%	33.355926%	0.732163%	0.318241%	-0.034598%	3.490955%	1.474302%
Forecast Annual Growth Rate	Biomass Capacity	%	2027	0.457066%	0.389370%	-0.405205%	16.373471%	-1.070982%	11.722348%	-0.388734%	0.202317%	-0.450945%	2.100923%	0.333450%
Forecast Annual Growth Rate	Biomass Capacity	%	2028	0.443681%	0.885825%	-0.236435%	11.042775%	-0.663664%	10.659867%	-1.539979%	0.301615%	-0.735974%	3.820696%	-0.429034%
Forecast Annual Growth Rate	Biomass Capacity	%	2029	0.416718%	1.622137%	0.583993%	7.705571%	-0.631042%	9.644116%	-1.373639%	-0.031794%	-1.012736%	1.957377%	-1.156405%
Forecast Annual Growth Rate	Biomass Capacity	%	2030	0.345466%	1.905024%	2.572728%	7.228999%	-0.256016%	4.612695%	-0.888643%	-0.843070%	-1.229742%	0.407243%	-1.163508%
Forecast Annual Growth Rate	Nuclear Capacity	%	2025	0.418718%	0.143166%	0.032892%	27.170195%	-1.063526%	-0.000973%	22.595402%	0.039450%	24.558877%	0.002867%	0.037514%
Forecast Annual Growth Rate	Nuclear Capacity	%	2026	1.063467%	1.962637%	0.183570%	0.453788%	0.000543%	2.605505%	17.237570%	0.231606%	0.003038%	1.647695%	2.703349%
Forecast Annual Growth Rate	Nuclear Capacity	%	2027	2.200290%	0.411790%	24.204186%	4.169795%	-0.000678%	1.299491%	19.771546%	1.902702%	0.004600%	0.623401%	4.481204%
Forecast Annual Growth Rate	Nuclear Capacity	%	2028	0.877063%	0.555469%	7.274113%	16.911179%	0.012236%	2.408285%	13.340657%	-1.684978%	0.006770%	0.225754%	2.624155%
Forecast Annual Growth Rate	Nuclear Capacity	%	2029	2.116159%	6.763655%	0.303306%	12.647754%	0.020264%	2.349081%	12.949097%	1.855300%	0.405433%	0.340476%	1.050371%
Forecast Annual Growth Rate	Nuclear Capacity	%	2030	1.957665%	9.218841%	0.511465%	12.842029%	0.050201%	0.178851%	15.961751%	0.789859%	0.011943%	0.783396%	0.568680%
